MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
1,1,01/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,01/01/2020,0
1,1,02/01/2020,8.0,16.0,19.6057,17.0,2.0,1.0,8.0,9635.6447,4877.05606,4768.58864,0.0,1,1,02/01/2020,0
1,1,03/01/2020,5.0,9.0,7.55,7.5,,,5.0,4361.45,2221.776,2139.674,0.0,1,1,03/01/2020,0
1,1,04/01/2020,12.0,8.0,35.99762,31.0,,1.0,20.0,11180.231179999999,5302.9364,5877.294779999999,0.0,1,1,04/01/2020,0
1,1,05/01/2020,16.0,17.0,53.04634,49.0,,3.0,44.0,19168.844259999998,9682.98165,9485.86261,28.595,1,1,05/01/2020,0
1,2,06/01/2020,4.0,6.0,9.255,28.5,,,14.0,5184.395,2711.237275,2473.157725,0.0,1,2,06/01/2020,0
1,2,07/01/2020,3.0,1.0,10.25409,10.0,,1.0,4.0,2776.8863100000003,1379.1475580000001,1397.738752,0.0,1,2,07/01/2020,0
1,2,08/01/2020,2.0,8.0,19.00682,15.0,,,9.0,7805.55998,3714.7289,4090.83108,3.87,1,2,08/01/2020,0
1,2,09/01/2020,6.0,10.0,12.99341,17.5,4.0,,9.0,6082.47499,3036.443375,3068.031615,0.0,1,2,09/01/2020,0
1,2,10/01/2020,4.0,2.0,14.622010000000001,15.0,2.0,,8.0,4425.48949,2179.43964,2257.84985,0.0,1,2,10/01/2020,0
1,2,11/01/2020,22.0,15.0,47.83105,58.0,2.0,1.0,26.0,17128.73965,8493.821856,8644.917793999999,0.0,1,2,11/01/2020,0
1,2,12/01/2020,16.0,11.0,63.877280000000006,75.5,2.0,,49.0,20714.79902,10207.480590000001,10517.31843,5.7,1,2,12/01/2020,0
1,3,13/01/2020,1.0,2.0,7.988410000000001,8.5,,,6.0,2400.9299899999996,1118.6334,1282.29659,0.0,1,3,13/01/2020,0
1,3,14/01/2020,5.0,5.0,14.6,20.0,2.0,,6.0,4677.1,2367.449,2319.651,1.3,1,3,14/01/2020,0
1,3,15/01/2020,9.0,7.0,49.78875,30.5,,,22.0,13726.37865,6724.601309999999,7001.777340000001,0.0,1,3,15/01/2020,0
1,3,16/01/2020,1.0,1.0,11.5314,6.0,5.0,,4.0,2653.9213,1343.771525,1334.149775,5.2,1,3,16/01/2020,0
1,3,17/01/2020,10.0,1.0,13.45,14.0,,1.0,5.0,4228.05,2130.42175,2097.62825,0.0,1,3,17/01/2020,0
1,3,18/01/2020,5.0,4.0,27.24012,33.5,,,18.0,8574.02548,4399.922320000001,4174.103160000001,0.0,1,3,18/01/2020,0
1,3,19/01/2020,16.0,15.0,51.72939,55.5,,1.0,43.0,18813.80871,9589.61445,9224.19426,44.7655,1,3,19/01/2020,0
1,4,20/01/2020,2.0,2.0,2.16279,10.0,,,3.0,1485.99991,872.15444,613.84547,0.0,1,4,20/01/2020,0
1,4,21/01/2020,4.0,3.0,7.346019999999999,20.0,,,10.0,3342.69878,1802.9834,1539.71538,0.0,1,4,21/01/2020,0
1,4,22/01/2020,3.0,4.0,29.5,21.5,,,12.0,7848.3,3974.2355,3874.0645,3.2,1,4,22/01/2020,0
1,4,23/01/2020,5.0,4.0,11.12,20.5,,,7.0,3997.03,2046.3655,1950.6645,0.0,1,4,23/01/2020,0
1,4,24/01/2020,7.0,15.0,10.504610000000001,11.0,2.0,,7.0,8010.8948900000005,4153.11684,3867.77805,0.0,1,4,24/01/2020,0
1,4,25/01/2020,12.0,5.0,47.86851,51.5,,,20.0,13967.03109,6733.134794,7234.896295999999,33.1,1,4,25/01/2020,0
1,4,26/01/2020,21.0,16.0,55.06709,52.5,1.0,,40.0,18914.464509999998,9611.34655,9307.11796,5.87,1,4,26/01/2020,0
1,5,27/01/2020,3.0,3.0,5.07,6.0,,,5.0,2418.53,1318.4225,1100.1075,3.2,1,5,27/01/2020,0
1,5,28/01/2020,5.0,2.0,2.93,4.0,,,2.0,1328.47,598.0409999999999,730.429,0.0,1,5,28/01/2020,0
1,5,29/01/2020,12.0,9.0,37.765,36.5,6.0,,13.0,12389.335,6395.5755,6035.7595,0.0,1,5,29/01/2020,0
1,5,30/01/2020,10.0,6.0,34.57101,36.0,,,19.0,9551.23539,4957.39555,4593.83984,0.0,1,5,30/01/2020,0
1,5,31/01/2020,1.0,1.0,19.625,12.0,,,8.0,4989.475,2078.23475,2911.24025,0.0,1,5,31/01/2020,0
2,5,01/02/2020,12.0,8.0,39.17998,55.5,,1.0,28.0,13402.93052,6824.022870000001,6578.90765,3.2,2,5,01/02/2020,0
2,5,02/02/2020,16.0,14.0,41.153259999999996,56.5,1.0,1.0,43.0,17145.22914,8660.0137,8489.21544,12.9,2,5,02/02/2020,0
2,6,03/02/2020,10.0,18.0,32.05557,49.0,,,39.0,15239.16853,8056.787270000001,7182.381259999999,0.0,2,6,03/02/2020,0
2,6,04/02/2020,2.0,3.0,5.02682,12.0,,,1.0,2579.40998,1432.0299,1147.3800800000001,0.0,2,6,04/02/2020,0
2,6,05/02/2020,1.0,2.0,27.755229999999997,17.0,,1.0,6.0,7128.99997,3486.0166,3642.9833700000004,0.0,2,6,05/02/2020,0
2,6,06/02/2020,3.0,1.0,15.816139999999999,18.5,,,6.0,4314.60486,1888.1795789999999,2426.425281,0.0,2,6,06/02/2020,0
2,6,07/02/2020,5.0,5.0,9.75,11.5,,,9.0,4683.25,2525.499,2157.751,0.0,2,6,07/02/2020,0
2,6,08/02/2020,6.0,12.0,26.3563,26.0,4.0,,12.0,11139.3557,6003.17395,5158.18175,0.0,2,6,08/02/2020,0
2,6,09/02/2020,21.0,12.0,68.533,78.0,,,41.0,21564.8952,10909.62686,10655.26835,3.2,2,6,09/02/2020,0
2,7,10/02/2020,6.0,,10.27557,12.0,,,4.0,2521.25993,1263.252502,1258.007428,0.0,2,7,10/02/2020,0
2,7,11/02/2020,0.0,2.0,7.51,3.0,,,2.0,2024.69,910.8698,1113.8202,0.0,2,7,11/02/2020,0
2,7,12/02/2020,5.0,8.0,27.048409999999997,19.0,2.0,,8.0,9327.369990000001,4855.54595,4481.8240399999995,0.0,2,7,12/02/2020,0
2,7,13/02/2020,7.0,5.0,13.5,18.0,4.0,,2.0,5024.5,2680.864,2365.636,0.0,2,7,13/02/2020,0
2,7,14/02/2020,11.0,14.0,33.58762,46.0,,1.0,12.0,12238.09118,6205.377275,6032.713905,0.0,2,7,14/02/2020,0
2,7,15/02/2020,23.0,20.0,37.34738,44.5,,,27.0,15355.68652,7845.966176999999,7509.720343000001,3.2,2,7,15/02/2020,0
2,7,16/02/2020,18.0,33.0,50.73722,64.0,6.0,1.0,29.0,25719.39558,13154.0759,12607.31968,6.4,2,7,16/02/2020,0
2,8,17/02/2020,6.0,1.0,10.41841,16.5,1.0,,6.0,3129.79999,1526.73495,1603.06504,3.2,2,8,17/02/2020,0
2,8,18/02/2020,2.0,6.0,7.275189999999999,9.0,,,3.0,4063.49951,2258.28734,1805.21217,0.0,2,8,18/02/2020,0
